Topic,Question,English Version 1,English Version 2,Hinglish Version 1,Hinglish Version 2,Hinglish Version 3,Answer
Keynote Speaker - Dr. Poonam Kashyap,How does Dr. Poonam Kashyap support AI learning?,What role does Dr. Poonam Kashyap play in AI education?,How does Dr. Poonam Kashyap contribute to AI research?,Dr. Poonam Kashyap AI learning me kaise madad karti hain?,AI education me Dr. Poonam Kashyap ka kya role hai?,Dr. Poonam Kashyap AI me kaise support karti hain?,She promotes AI integration in interdisciplinary studies.
Keynote Speaker - Dr. Dharmesh J. Shah,Who is Dr. Dharmesh J. Shah?,Can you introduce Dr. Dharmesh J. Shah?,Who is Dr. Dharmesh Shah and what does he do?,Dr. Dharmesh J. Shah kaun hain?,Dharmesh J. Shah ke baare me bata sakte hain?,Dr. Dharmesh Shah kis field me kaam karte hain?,"Dr. Dharmesh J. Shah is the Vice Chancellor of Indrashil University, Gujarat."
Keynote Speaker - Dr. Dharmesh J. Shah,What is Dr. Dharmesh J. Shah's contribution to AI?,How has Dr. Dharmesh Shah impacted AI development?,What contributions has Dr. Dharmesh J. Shah made in AI?,Dr. Dharmesh J. Shah ka AI field me kya yogdan hai?,AI me Dr. Dharmesh Shah ka kya role hai?,Dr. Dharmesh Shah ne AI me kya contribute kiya hai?,He focuses on AI-driven healthcare innovations.
Keynote Speaker - Dr. Prasad D Khandekar,Who is Dr. Prasad D Khandekar?,Can you introduce Dr. Prasad D Khandekar?,Who is Dr. Prasad D Khandekar and what does he do?,Dr. Prasad D Khandekar kaun hain?,Prasad D Khandekar ke baare me bata sakte hain?,Dr. Prasad D Khandekar kis field me kaam karte hain?,"Dr. Prasad D Khandekar is the Vice Chancellor of DES Pune University, Pune."
Keynote Speaker - Dr. Prasad D Khandekar,What is Dr. Prasad D Khandekar's focus in AI?,What are Dr. Prasad D Khandekar's key research areas in AI?,In which aspect of AI does Dr. Prasad D Khandekar specialize?,Dr. Prasad D Khandekar ka AI me kya focus hai?,AI me Dr. Prasad D Khandekar kis area me kaam kar rahe hain?,Dr. Prasad D Khandekar ka AI field me specialization kya hai?,He specializes in AI applications in engineering education.
Keynote Speaker - Dr. Sohan Chitlange,Who is Dr. Sohan Chitlange?,Can you introduce Dr. Sohan Chitlange?,Who is Dr. Sohan Chitlange and what does he do?,Dr. Sohan Chitlange kaun hain?,Sohan Chitlange ke baare me bata sakte hain?,Dr. Sohan Chitlange kis field me kaam karte hain?,"Dr. Sohan Chitlange is the Vice Chancellor of D Y Patil Dnyan Prasad University, Pune."
Keynote Speaker - Dr. Sohan Chitlange,How does Dr. Sohan Chitlange contribute to AI education?,What is Dr. Sohan Chitlange's role in AI education?,How has Dr. Sohan Chitlange helped AI learning?,Dr. Sohan Chitlange AI education me kaise yogdan dete hain?,AI learning me Dr. Sohan Chitlange ka kya role hai?,Dr. Sohan Chitlange AI education ko kaise support karte hain?,He integrates AI research into pharmaceutical sciences.
Keynote Speaker - Prof. (Dr.) Siddharth Jabade,Who is Prof. (Dr.) Siddharth Jabade?,Can you introduce Prof. Siddharth Jabade?,Who is Prof. Siddharth Jabade and what does he do?,Prof. (Dr.) Siddharth Jabade kaun hain?,Siddharth Jabade ke baare me bata sakte hain?,Prof. Siddharth Jabade kis field me kaam karte hain?,"Prof. (Dr.) Siddharth Jabade is the Vice Chancellor of Vishwakarma University, Pune."
Keynote Speaker - Prof. (Dr.) Siddharth Jabade,What is Prof. (Dr.) Siddharth Jabade's AI-related expertise?,In which AI field is Prof. Siddharth Jabade an expert?,What are Prof. Siddharth Jabade's key AI contributions?,Prof. Siddharth Jabade ka AI me kya expertise hai?,AI me Prof. Siddharth Jabade kis area me kaam kar rahe hain?,Prof. Siddharth Jabade AI ke kis field me specialist hain?,He leads AI-based skill development initiatives.
Keynote Speaker - Dr. Rajesh Dixit,Who is Dr. Rajesh Dixit?,Can you introduce Dr. Rajesh Dixit?,Who is Dr. Rajesh Dixit and what does he do?,Dr. Rajesh Dixit kaun hain?,Rajesh Dixit ke baare me bata sakte hain?,Dr. Rajesh Dixit kis field me kaam karte hain?,"Dr. Rajesh Dixit is the Vice Chancellor of Renaissance University, Indore."
Keynote Speaker - Dr. Rajesh Dixit,What is Dr. Rajesh Dixit's focus in AI?,What are Dr. Rajesh Dixit's key research areas in AI?,In which aspect of AI does Dr. Rajesh Dixit specialize?,Dr. Rajesh Dixit ka AI me kya focus hai?,AI me Dr. Rajesh Dixit kis area me kaam kar rahe hain?,Dr. Rajesh Dixit ka AI field me specialization kya hai?,He promotes AI-driven entrepreneurial education.
Keynote Speaker - Dr. Kuldeep Raina,Who is Dr. Kuldeep Raina?,Can you introduce Dr. Kuldeep Raina?,Who is Dr. Kuldeep Raina and what does he do?,Dr. Kuldeep Raina kaun hain?,Kuldeep Raina ke baare me bata sakte hain?,Dr. Kuldeep Raina kis field me kaam karte hain?,Dr. Kuldeep Raina is the Vice Chancellor of Ramaiah University.
Keynote Speaker - Dr. Kuldeep Raina,What does Dr. Kuldeep Raina specialize in?,What is Dr. Kuldeep Raina's field of expertise?,What are Dr. Kuldeep Raina's key contributions?,Dr. Kuldeep Raina kis field me expert hain?,Dr. Kuldeep Raina ka specialisation kya hai?,AI ya education me Dr. Kuldeep Raina ka kya yogdan hai?,He works on AI-driven policy frameworks in higher education.
Keynote Speaker - Dr. Sayalee Gankar,Who is Dr. Sayalee Gankar?,Can you introduce Dr. Sayalee Gankar?,Who is Dr. Sayalee Gankar and what does she do?,Dr. Sayalee Gankar kaun hain?,Sayalee Gankar ke baare me bata sakte hain?,Dr. Sayalee Gankar kis field me kaam karti hain?,"Dr. Sayalee Gankar is the Vice Chancellor of D Y Patil University Pune, Ambi Maharashtra."
Keynote Speaker - Dr. Sayalee Gankar,What is Dr. Sayalee Gankar's expertise?,What is Dr. Sayalee Gankar known for in AI and education?,What are Dr. Sayalee Gankar's key achievements?,Dr. Sayalee Gankar AI ya education me kis field me expert hain?,Sayalee Gankar ka expertise kya hai?,Dr. Sayalee Gankar ka AI education me kya yogdan hai?,She focuses on AI-driven business strategies in management studies.
Keynote Speaker - Dr. Sudhir U. Meshram,Who is Dr. Sudhir U. Meshram?,Can you introduce Dr. Sudhir U. Meshram?,Who is Dr. Sudhir Meshram and what does he do?,Dr. Sudhir U. Meshram kaun hain?,Sudhir U. Meshram ke baare me bata sakte hain?,Dr. Sudhir Meshram kis field me kaam karte hain?,"Dr. Sudhir U. Meshram is the Vice Chancellor of G H Raisoni University, Maharashtra."
Keynote Speaker - Dr. Sudhir U. Meshram,What is Dr. Sudhir U. Meshram's contribution to AI?,How has Dr. Sudhir Meshram influenced AI research?,What impact has Dr. Sudhir U. Meshram made in AI?,Dr. Sudhir Meshram ka AI me kya yogdan hai?,AI me Dr. Sudhir U. Meshram ka kya role hai?,Dr. Sudhir U. Meshram AI me kaise contribute kar rahe hain?,He promotes AI-driven research in engineering and management education.
Keynote Speaker - Dr. Devender Pathak,Who is Dr. Devender Pathak?,Can you introduce Dr. Devender Pathak?,Who is Dr. Devender Pathak and what does he do?,Dr. Devender Pathak kaun hain?,Devender Pathak ke baare me bata sakte hain?,Dr. Devender Pathak kis field me kaam karte hain?,"Dr. Devender Pathak is the Vice Chancellor of Oriental University, Indore."
Keynote Speaker - Dr. Devender Pathak,How does Dr. Devender Pathak contribute to AI education?,What is Dr. Devender Pathak's role in AI learning?,How has Dr. Devender Pathak supported AI education?,Dr. Devender Pathak AI education me kaise yogdan dete hain?,AI learning me Dr. Devender Pathak ka kya role hai?,Dr. Devender Pathak AI education ko kaise support karte hain?,He works on AI-powered learning models for emerging technology fields.
Keynote Speaker - Dr. Subodh Agnihotri,Who is Dr. Subodh Agnihotri?,Can you introduce Dr. Subodh Agnihotri?,Who is Dr. Subodh Agnihotri and what does he do?,Dr. Subodh Agnihotri kaun hain?,Subodh Agnihotri ke baare me bata sakte hain?,Dr. Subodh Agnihotri kis field me kaam karte hain?,"Dr. Subodh Agnihotri is the Vice Chancellor of Ajeenkya DY Patil University, Pune."
Keynote Speaker - Dr. Subodh Agnihotri,What is Dr. Subodh Agnihotri's expertise?,In which field is Dr. Subodh Agnihotri an expert?,What are Dr. Subodh Agnihotri's major contributions?,Dr. Subodh Agnihotri ka expertise kya hai?,AI ya education me Dr. Subodh Agnihotri kis field me specialist hain?,Dr. Subodh Agnihotri ka AI education me kya yogdan hai?,He focuses on AI in healthcare and biomedical innovations.
Keynote Speaker - Dr. R. Ganesan,Who is Dr. R. Ganesan?,Can you introduce Dr. R. Ganesan?,Who is Dr. R. Ganesan and what does he do?,Dr. R. Ganesan kaun hain?,R. Ganesan ke baare me bata sakte hain?,Dr. R. Ganesan kis field me kaam karte hain?,Dr. R. Ganesan is the Vice Chancellor of Noorul Islam Centre for Higher Education.
Keynote Speaker - Dr. R. Ganesan,What is Dr. R. Ganesan's contribution to AI?,How has Dr. R. Ganesan impacted AI research?,What role has Dr. R. Ganesan played in AI development?,Dr. R. Ganesan ka AI me kya yogdan hai?,AI me Dr. R. Ganesan ka kya role hai?,Dr. R. Ganesan AI field me kaise contribute kar rahe hain?,He integrates AI-based smart learning techniques into academic programs.
Keynote Speaker - Mr. Aarsh Srivastava,Who is Mr. Aarsh Srivastava?,Can you introduce Mr. Aarsh Srivastava?,Who is Mr. Aarsh Srivastava and what does he do?,Mr. Aarsh Srivastava kaun hain?,Aarsh Srivastava ke baare me bata sakte hain?,Mr. Aarsh Srivastava kis field me kaam karte hain?,Mr. Aarsh Srivastava is CEO & Co- Founder of Gravitas AI.
Keynote Speaker - Mr. Aarsh Srivastava,What is Mr. Aarsh Srivastava's focus in AI?,What are Mr. Aarsh Srivastava's key research areas in AI?,In which aspect of AI does Mr. Aarsh Srivastava specialize?,Mr. Aarsh Srivastava ka AI me kya focus hai?,AI me Mr. Aarsh Srivastava kis area me kaam kar rahe hain?,Mr. Aarsh Srivastava ka AI field me specialization kya hai?,He is an AI strategist with more than a decade's experience in AI products & solutions. He is Industry Advisor to Manipal University for AI & Data Science.
Keynote Speaker - Dr. Rajesh Khanna,Who is Dr. Rajesh Khanna?,Can you introduce Dr. Rajesh Khanna?,Who is Dr. Rajesh Khanna and what does he do?,Dr. Rajesh Khanna kaun hain?,Rajesh Khanna ke baare me bata sakte hain?,Dr. Rajesh Khanna kis field me kaam karte hain?,"Dr. Rajesh Khanna is the Vice Chancellor of D Y Patil International University, Akurdi, Pune."
Keynote Speaker - Dr. Rajesh Khanna,What is Dr. Rajesh Khanna's expertise in AI?,In which AI domain is Dr. Rajesh Khanna an expert?,What are Dr. Rajesh Khanna's key contributions to AI?,Dr. Rajesh Khanna ka AI me kya expertise hai?,AI me Dr. Rajesh Khanna kis area me kaam kar rahe hain?,Dr. Rajesh Khanna AI ke kis field me specialist hain?,He promotes AI-driven business intelligence and analytics.
Keynote Speaker - Dr. Shrirang Altekar,Who is Dr. Shrirang Altekar?,Can you introduce Dr. Shrirang Altekar?,What is Dr. Shrirang Altekar's background?,Dr. Shrirang Altekar kaun hain?,Dr. Shrirang Altekar ke baare me bata sakte hain?,Dr. Shrirang Altekar kis field me kaam karte hain?,"Dr. Shrirang Altekar is the Vice Chancellor of MIT ADT University, Pune."
Keynote Speaker - Dr. Shrirang Altekar,How does Dr. Shrirang Altekar contribute to AI?,What role does Dr. Shrirang Altekar play in AI development?,How has Dr. Shrirang Altekar influenced AI research?,Dr. Shrirang Altekar AI field me kaise yogdan dete hain?,AI me Dr. Shrirang Altekar ka kya yogdan hai?,Dr. Shrirang Altekar ka AI me kya role hai?,He integrates AI-based decision-making frameworks in education.
Keynote Speaker - Dr. Girish Kumar Chaudhari,Who is Dr. Girish Kumar Chaudhari?,Can you introduce Dr. Girish Kumar Chaudhari?,What is Dr. Girish Kumar Chaudhari's background?,Dr. Girish Kumar Chaudhari kaun hain?,Dr. Girish Kumar Chaudhari ke baare me bata sakte hain?,Dr. Girish Kumar Chaudhari kis field me kaam karte hain?,"Dr. Girish Kumar Chaudhari is the Vice Chancellor of Sanjay Ghodawat University, Maharashtra."
Keynote Speaker - Dr. Girish Kumar Chaudhari,What is Dr. Girish Kumar Chaudhari's focus in AI?,In which area of AI does Dr. Girish Kumar Chaudhari specialize?,What are Dr. Girish Kumar Chaudhari's key contributions in AI?,Dr. Girish Kumar Chaudhari ka AI me kya expertise hai?,AI me Dr. Girish Kumar Chaudhari kis area me kaam kar rahe hain?,Dr. Girish Kumar Chaudhari kis AI field me specialist hain?,He develops AI solutions for rural and agricultural development.
Keynote Speaker - Dr. Prashant Dave,Who is Dr. Prashant Dave?,Can you introduce Dr. Prashant Dave?,What is Dr. Prashant Dave's background?,Dr. Prashant Dave kaun hain?,Dr. Prashant Dave ke baare me bata sakte hain?,Dr. Prashant Dave kis field me kaam karte hain?,"Dr. Prashant Dave is the Vice Chancellor of Indus University, Gujarat."
Keynote Speaker - Dr. Prashant Dave,What is Dr. Prashant Dave's AI contribution?,How has Dr. Prashant Dave influenced AI research?,What role does Dr. Prashant Dave play in AI?,Dr. Prashant Dave AI me kya yogdan dete hain?,AI me Dr. Prashant Dave ka kya role hai?,Dr. Prashant Dave kis AI field me kaam kar rahe hain?,He emphasizes AI applications in environmental sciences and sustainability.
Keynote Speaker - Dr. N.B. Bhalerao,Who is Dr. N.B. Bhalerao?,Can you introduce Dr. N.B. Bhalerao?,What is Dr. N.B. Bhalerao's background?,Dr. N.B. Bhalerao kaun hain?,Dr. N.B. Bhalerao ke baare me bata sakte hain?,Dr. N.B. Bhalerao kis field me kaam karte hain?,"Dr. N.B. Bhalerao is the Vice Chancellor of K.K. University, Bihar."
Keynote Speaker - Dr. N.B. Bhalerao,What is Dr. N.B. Bhalerao's area of expertise?,In which field is Dr. N.B. Bhalerao an expert?,What are Dr. N.B. Bhalerao's key contributions?,Dr. N.B. Bhalerao kis field me expert hain?,Dr. N.B. Bhalerao ka specialisation kya hai?,AI ya education me Dr. N.B. Bhalerao ka kya yogdan hai?,He researches AI-driven solutions for smart cities.
Keynote Speaker - Dr. Mahesh Chitnis,Who is Dr. Mahesh Chitnis?,Can you introduce Dr. Mahesh Chitnis?,What is Dr. Mahesh Chitnis's background?,Dr. Mahesh Chitnis kaun hain?,Dr. Mahesh Chitnis ke baare me bata sakte hain?,Dr. Mahesh Chitnis kis field me kaam karte hain?,"Dr. Mahesh Chitnis is the Vice Chancellor of Swami Vivekanand University, Madhya Pradesh."
Keynote Speaker - Dr. Mahesh Chitnis,What is Dr. Mahesh Chitnis's contribution to AI?,How has Dr. Mahesh Chitnis influenced AI research?,What role does Dr. Mahesh Chitnis play in AI?,Dr. Mahesh Chitnis AI field me kya yogdan dete hain?,AI me Dr. Mahesh Chitnis ka kya role hai?,Dr. Mahesh Chitnis AI development me kaise contribute karte hain?,He promotes AI-based security solutions for digital education.
Keynote Speaker - Dr. Deepak D. Patil,Who is Dr. Deepak D. Patil?,Can you introduce Dr. Deepak D. Patil?,What is Dr. Deepak D. Patil's background?,Dr. Deepak D. Patil kaun hain?,Dr. Deepak D. Patil ke baare me bata sakte hain?,Dr. Deepak D. Patil kis field me kaam karte hain?,"Dr. Deepak D. Patil is the Vice Chancellor of Sandip University, Nashik."
Keynote Speaker - Dr. Deepak D. Patil,What is Dr. Deepak D. Patil's expertise in AI?,In which area of AI does Dr. Deepak D. Patil specialize?,What are Dr. Deepak D. Patil's key contributions in AI?,Dr. Deepak D. Patil ka AI me kya expertise hai?,AI me Dr. Deepak D. Patil kis area me kaam kar rahe hain?,Dr. Deepak D. Patil kis AI field me specialist hain?,He specializes in AI for robotics and automation.
Keynote Speaker - Dr. Pawan Sharma,Who is Dr. Pawan Sharma?,Can you introduce Dr. Pawan Sharma?,What is Dr. Pawan Sharma's background?,Dr. Pawan Sharma kaun hain?,Dr. Pawan Sharma ke baare me bata sakte hain?,Dr. Pawan Sharma kis field me kaam karte hain?,"Dr. Pawan Sharma is the Vice Chancellor of JJT University, Rajasthan."
Keynote Speaker - Dr. Pawan Sharma,What is Dr. Pawan Sharma's role in AI education?,How does Dr. Pawan Sharma contribute to AI learning?,What is Dr. Pawan Sharma's influence in AI academia?,Dr. Pawan Sharma AI education me kya yogdan dete hain?,AI me Dr. Pawan Sharma ka kya role hai?,Dr. Pawan Sharma AI learning ko kaise support karte hain?,He promotes AI-based research in space technology.
Keynote Speaker - Dr. Mukesh Tiwari,Who is Dr. Mukesh Tiwari?,Can you introduce Dr. Mukesh Tiwari?,What is Dr. Mukesh Tiwari's background?,Dr. Mukesh Tiwari kaun hain?,Dr. Mukesh Tiwari ke baare me bata sakte hain?,Dr. Mukesh Tiwari kis field me kaam karte hain?,"Dr. Mukesh Tiwari is the Vice Chancellor of ITM University, Gwalior."
Keynote Speaker - Dr. Mukesh Tiwari,How does Dr. Mukesh Tiwari contribute to AI learning?,What role does Dr. Mukesh Tiwari play in AI education?,How is Dr. Mukesh Tiwari involved in AI research?,Dr. Mukesh Tiwari AI learning me kaise contribute karte hain?,AI education me Dr. Mukesh Tiwari ka kya yogdan hai?,AI me Dr. Mukesh Tiwari ka contribution kya hai?,He works on AI-powered automation in industries.
