Topic,Question,English Version 1,English Version 2,Hinglish Version 1,Hinglish Version 2,Hinglish Version 3,Answer
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of Vishwakarma University, Pune."
Keynote Speaker  {Speaker},What is {Speaker} AIrelated expertise?,In which AI field is {Speaker} an expert?,What are {Speaker} key AI contributions?,{Speaker} ka AI me kya expertise hai?,AI me {Speaker} kis area me kaam kar rahe hain?,{Speaker} AI ke kis field me specialist hain?,He leads AIbased skill development initiatives.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of Renaissance University, Indore."
Keynote Speaker  {Speaker},What is {Speaker} focus in AI?,What are {Speaker} key research areas in AI?,In which aspect of AI does {Speaker} specialize?,{Speaker} ka AI me kya focus hai?,AI me {Speaker} kis area me kaam kar rahe hain?,{Speaker} ka AI field me specialization kya hai?,He promotes AIdriven entrepreneurial education.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,{Speaker} is the Vice Chancellor of Ramaiah University.
Keynote Speaker  {Speaker},What does {Speaker} specialize in?,What is {Speaker} field of expertise?,What are {Speaker} key contributions?,{Speaker} kis field me expert hain?,{Speaker} ka specialisation kya hai?,AI ya education me {Speaker} ka kya yogdan hai?,He works on AIdriven policy frameworks in higher education.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does she do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karti hain?,"{Speaker} is the Vice Chancellor of D Y Patil University Pune, Ambi Maharashtra."
Keynote Speaker  {Speaker},What is {Speaker} expertise?,What is {Speaker} known for in AI and education?,What are {Speaker} key achievements?,{Speaker} AI ya education me kis field me expert hain?,{Speaker} ka expertise kya hai?,{Speaker} ka AI education me kya yogdan hai?,She focuses on AIdriven business strategies in management studies.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of G H Raisoni University, Maharashtra."
Keynote Speaker  {Speaker},What is {Speaker} contribution to AI?,How has {Speaker} influenced AI research?,What impact has {Speaker} made in AI?,{Speaker} ka AI me kya yogdan hai?,AI me {Speaker} ka kya role hai?,{Speaker} AI me kaise contribute kar rahe hain?,He promotes AIdriven research in engineering and management education.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of Oriental University, Indore."
Keynote Speaker  {Speaker},How does {Speaker} contribute to AI education?,What is {Speaker} role in AI learning?,How has {Speaker} supported AI education?,{Speaker} AI education me kaise yogdan dete hain?,AI learning me {Speaker} ka kya role hai?,{Speaker} AI education ko kaise support karte hain?,He works on AIpowered learning models for emerging technology fields.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of Ajeenkya DY Patil University, Pune."
Keynote Speaker  {Speaker},What is {Speaker} expertise?,In which field is {Speaker} an expert?,What are {Speaker} major contributions?,{Speaker} ka expertise kya hai?,AI ya education me {Speaker} kis field me specialist hain?,{Speaker} ka AI education me kya yogdan hai?,He focuses on AI in healthcare and biomedical innovations.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,{Speaker} is the Vice Chancellor of Noorul Islam Centre for Higher Education.
Keynote Speaker  {Speaker},What is {Speaker} contribution to AI?,How has {Speaker} impacted AI research?,What role has {Speaker} played in AI development?,{Speaker} ka AI me kya yogdan hai?,AI me {Speaker} ka kya role hai?,{Speaker} AI field me kaise contribute kar rahe hain?,He integrates AIbased smart learning techniques into academic programs.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,{Speaker} is CEO & Co Founder of Gravitas AI.
Keynote Speaker  {Speaker},What is {Speaker} focus in AI?,What are {Speaker} key research areas in AI?,In which aspect of AI does {Speaker} specialize?,{Speaker} ka AI me kya focus hai?,AI me {Speaker} kis area me kaam kar rahe hain?,{Speaker} ka AI field me specialization kya hai?,He is an AI strategist with more than a decade experience in AI products & solutions. He is Industry Advisor to Manipal University for AI & Data Science.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,Who is {Speaker} and what does he do?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of D Y Patil International University, Akurdi, Pune."
Keynote Speaker  {Speaker},What is {Speaker} expertise in AI?,In which AI domain is {Speaker} an expert?,What are {Speaker} key contributions to AI?,{Speaker} ka AI me kya expertise hai?,AI me {Speaker} kis area me kaam kar rahe hain?,{Speaker} AI ke kis field me specialist hain?,He promotes AIdriven business intelligence and analytics.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,What is {Speaker} background?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of MIT ADT University, Pune."
Keynote Speaker  {Speaker},How does {Speaker} contribute to AI?,What role does {Speaker} play in AI development?,How has {Speaker} influenced AI research?,{Speaker} AI field me kaise yogdan dete hain?,AI me {Speaker} ka kya yogdan hai?,{Speaker} ka AI me kya role hai?,He integrates AIbased decisionmaking frameworks in education.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,What is {Speaker} background?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of Sanjay Ghodawat University, Maharashtra."
Keynote Speaker  {Speaker},What is {Speaker} focus in AI?,In which area of AI does {Speaker} specialize?,What are {Speaker} key contributions in AI?,{Speaker} ka AI me kya expertise hai?,AI me {Speaker} kis area me kaam kar rahe hain?,{Speaker} kis AI field me specialist hain?,He develops AI solutions for rural and agricultural development.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,What is {Speaker} background?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of Indus University, Gujarat."
Keynote Speaker  {Speaker},What is {Speaker} AI contribution?,How has {Speaker} influenced AI research?,What role does {Speaker} play in AI?,{Speaker} AI me kya yogdan dete hain?,AI me {Speaker} ka kya role hai?,{Speaker} kis AI field me kaam kar rahe hain?,He emphasizes AI applications in environmental sciences and sustainability.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,What is {Speaker} background?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of K.K. University, Bihar."
Keynote Speaker  {Speaker},What is {Speaker} area of expertise?,In which field is {Speaker} an expert?,What are {Speaker} key contributions?,{Speaker} kis field me expert hain?,{Speaker} ka specialisation kya hai?,AI ya education me {Speaker} ka kya yogdan hai?,He researches AIdriven solutions for smart cities.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,What is {Speaker} background?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of Swami Vivekanand University, Madhya Pradesh."
Keynote Speaker  {Speaker},What is {Speaker} contribution to AI?,How has {Speaker} influenced AI research?,What role does {Speaker} play in AI?,{Speaker} AI field me kya yogdan dete hain?,AI me {Speaker} ka kya role hai?,{Speaker} AI development me kaise contribute karte hain?,He promotes AIbased security solutions for digital education.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,What is {Speaker} background?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of Sandip University, Nashik."
Keynote Speaker  {Speaker},What is {Speaker} expertise in AI?,In which area of AI does {Speaker} specialize?,What are {Speaker} key contributions in AI?,{Speaker} ka AI me kya expertise hai?,AI me {Speaker} kis area me kaam kar rahe hain?,{Speaker} kis AI field me specialist hain?,He specializes in AI for robotics and automation.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,What is {Speaker} background?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of JJT University, Rajasthan."
Keynote Speaker  {Speaker},What is {Speaker} role in AI education?,How does {Speaker} contribute to AI learning?,What is {Speaker} influence in AI academia?,{Speaker} AI education me kya yogdan dete hain?,AI me {Speaker} ka kya role hai?,{Speaker} AI learning ko kaise support karte hain?,He promotes AIbased research in space technology.
Keynote Speaker  {Speaker},Who is {Speaker}?,Can you introduce {Speaker}?,What is {Speaker} background?,{Speaker} kaun hain?,{Speaker} ke baare me bata sakte hain?,{Speaker} kis field me kaam karte hain?,"{Speaker} is the Vice Chancellor of ITM University, Gwalior."
Keynote Speaker  {Speaker},How does {Speaker} contribute to AI learning?,What role does {Speaker} play in AI education?,How is {Speaker} involved in AI research?,{Speaker} AI learning me kaise contribute karte hain?,AI education me {Speaker} ka kya yogdan hai?,AI me {Speaker} ka contribution kya hai?,He works on AIpowered automation in industries.
